gotu	covered_length	total_length	coverage_ratio	strain
G002806685	3857924	5755060	0.6703533933616678	Pseudomonas qingdaonensis
G018398475	3857104	5938989	0.6494546462369268	Pseudomonas qingdaonensis
G900457215	3849135	4745946	0.8110364087581274	Shigella dysenteriae
G000210075	3843281	5976145	0.643103706486372	Bacteroides xylanisolvens
G900187175	3843001	4392177	0.8749649661204455	Odoribacter splanchnicus
G000190535	3842503	4392288	0.8748294738414238	Odoribacter splanchnicus
G900186865	3841837	5004261	0.7677131548494374	Stenotrophomonas maltophilia
G017848315	3841130	5909598	0.6499816061938561	Pseudomonas palmensis
G000743455	3825178	4765599	0.8026646807673076	Ralstonia pickettii
G001544155	3804306	4734078	0.8036001941666361	Ralstonia pickettii
G001997185	3803023	4955161	0.7674872723610797	Stenotrophomonas maltophilia
G001591205	3795474	4939323	0.768419882643836	Stenotrophomonas maltophilia
G000597745	3736343	4887656	0.764444756341281	Stenotrophomonas maltophilia
G002949675	3728752	4578479	0.8144084531129224	Shigella dysenteriae
G003572535	3715840	4119288	0.902058802394977	Shigella boydii
G000513195	3696856	7021422	0.5265110115871116	Bacteroides timonensis
G009648935	3694533	4917491	0.751304476205447	Citrobacter braakii
G900475405	3690128	4481118	0.8234837823953755	Stenotrophomonas maltophilia
G002849795	3686106	3913026	0.9420090743071986	Prevotella jejuni
G004166975	3644762	4586925	0.7945981240155442	Parabacteroides merdae
G004345805	3633919	4432448	0.8198446998137372	Flavonifractor plautii
G019048805	3618991	5579627	0.6486080521153117	Citrobacter braakii
G001189845	3599962	9771074	0.36843053281553284	Bradyrhizobium tropiciagri
G002075345	3578866	5577698	0.6416385397703497	Citrobacter braakii
G008830385	3558144	4805258	0.7404688780498362	Butyricimonas faecihominis
G014647335	3547249	4794785	0.7398139854028909	Butyricimonas faecihominis
G014196975	3546365	4794265	0.7397098408202301	Butyricimonas faecihominis
G000484655	3504434	4512648	0.7765804024599304	Blautia wexlerae
G008632235	3480613	5072249	0.6862070454348751	[Clostridium] symbiosum
G014138435	3448692	5972147	0.5774626779950326	Methylobacterium fujisawaense
G000757795	3446751	6286629	0.5482669646960239	Methylobacterium oryzae
G900187995	3432087	3648758	0.9406178760005459	Prevotella jejuni
G000265365	3429046	3734239	0.9182717014095777	Alistipes finegoldii
G001936175	3412915	6316684	0.5403016836048787	Methylobacterium phyllosphaerae
G900113465	3375627	6205349	0.5439866476486657	Methylobacterium phyllosphaerae
G018785545	3334558	4208509	0.7923371436297273	Blautia wexlerae
G000466485	3237491	4829055	0.6704191606846475	[Clostridium] symbiosum
G010508875	3170216	3985392	0.7954590163276285	Flavonifractor plautii
G000378085	3166482	3509189	0.9023401133424276	Prevotella loescheii
G000701705	3139021	4634382	0.677333245295705	Bilophila wadsworthia
G000613485	3132612	3476175	0.9011663682064338	Prevotella loescheii
G000949455	3126204	4113218	0.7600384905443864	Ruthenibacterium lactatiformans
G000698925	3119846	3476112	0.8975102068057647	Prevotella loescheii
G000312305	3104401	4082135	0.7604846483519041	Prevotella conceptionensis
G016027815	3076043	7274528	0.4228512145392801	Delftia lacustris
G000185705	3075009	4391254	0.7002576029535071	Bilophila wadsworthia
G000239295	3047518	3824944	0.796748396839274	Flavonifractor plautii
G000296465	3030783	3443986	0.8800218700076017	Barnesiella intestinihominis
G000144405	3026041	3168302	0.95509866168061	Prevotella melaninogenica
G020735785	3025902	3168247	0.955071369119895	Prevotella melaninogenica
G900560965	3021183	6868303	0.43987328456534314	Pseudomonas protegens
G000397205	3019605	6867980	0.4396642098550083	Pseudomonas protegens
G900637655	3015019	3168212	0.9516468594904633	Prevotella oris
G000374505	3013449	3866208	0.7794327154669382	Alistipes onderdonkii
G013302415	3009304	4180223	0.7198907809463754	Blautia faecis
G900107225	3001676	7176442	0.4182679940839764	Delftia lacustris
G006542645	2981529	3507492	0.8500458447232382	Alistipes onderdonkii
G000185845	2973462	3275361	0.9078272593463743	Prevotella salivae
G009717905	2964127	3755357	0.7893063162836449	Ruthenibacterium lactatiformans
G003634345	2954240	3412180	0.8657925431835366	Coprobacter fastidiosus
G000473955	2952165	3415052	0.8644568223265707	Coprobacter fastidiosus
G900096715	2942893	3274308	0.8987831932732046	Tannerella forsythia
G003269195	2939550	3055254	0.962129498889454	Prevotella pallens
G001571325	2939529	6610632	0.44466686392465954	Delftia tsuruhatensis
G900454935	2938512	3108834	0.9452135430839987	Prevotella pallens
G000613505	2932463	3079859	0.9521419649406028	Prevotella oris
G000220255	2932253	3128380	0.9373071685664784	Prevotella pallens
G006385365	2928122	3297994	0.8878494017878746	Tannerella forsythia
G001006485	2926995	3284548	0.8911408814850628	Tannerella forsythia
G000377685	2926020	3064115	0.9549315218260411	Prevotella oris
G000477535	2888482	3100528	0.9316097129263144	Prevotella salivae
G003467385	2873351	6740819	0.42626140829474873	Enterocloster aldenensis
G001982635	2863353	8844277	0.32375207153733426	Bradyrhizobium mercantei
G008572545	2856141	5200059	0.5492516527216326	Bacteroides caccae
G017167925	2851925	7158081	0.39842033081212685	Methylobacterium organophilum
G001750725	2849324	4952790	0.5752967519317395	Enterobacter ludwigii
G000818595	2848144	4952790	0.5750585023794669	Enterobacter ludwigii
G020889705	2838952	9771225	0.29054207635173684	Bradyrhizobium altum
G017493175	2825331	8831392	0.31991910222080505	Bradyrhizobium quebecense
G013373795	2824819	9178972	0.3077489505360731	Bradyrhizobium quebecense
G000613925	2821758	2950887	0.9562406151099653	Prevotella histicola
G005121165	2817609	3576111	0.787897523315132	Dysosmobacter welbionis
G018128125	2816418	2999534	0.9389518505207809	Prevotella histicola
G000241465	2816397	4265036	0.6603454226412157	Sphingomonas echinoides
G900454835	2801127	3171743	0.8831506840245253	Prevotella denticola
G018127825	2770049	2887147	0.9594416217809485	Prevotella nigrescens
G000614125	2765680	4887432	0.5658759037465892	Bacteroides rodentium
G016127955	2752249	3190416	0.8626614836435124	Actinomyces oris
G010811875	2742935	9998921	0.274323099462432	Bradyrhizobium uaiense
G006546825	2737129	3169314	0.8636345278505064	Actinomyces oris
G011612265	2734862	2866540	0.9540637842137211	Corynebacterium matruchotii
G000175375	2724498	2856128	0.953913129943756	Corynebacterium matruchotii
G900447555	2722226	2855359	0.9533743392687224	Corynebacterium matruchotii
G002959675	2717369	6644316	0.40897648456214303	Enterocloster bolteae
G012986985	2716821	5446991	0.49877464456981846	Pseudomonas chengduensis
G002234575	2707834	6614056	0.4094059681381591	Enterocloster bolteae
G020889685	2705526	9053269	0.29884520166141093	Bradyrhizobium oropedii
G900065875	2703207	2922338	0.9250151762048059	Prevotella phocaeensis
G013004645	2700764	4574378	0.5904111990744971	Stenotrophomonas maltophilia
G002159215	2699648	3483660	0.7749458902418721	Alistipes onderdonkii
G000421205	2696803	3057926	0.8819059061599267	Prevotella denticola
G018128205	2695464	3106584	0.8676617146035646	Prevotella denticola
G003470435	2695395	2961117	0.9102629176759987	[Ruminococcus] torques
G900102635	2695377	5413905	0.4978618945105243	Pseudomonas chengduensis
G009718305	2689118	3277942	0.8203677795397234	Mediterraneibacter faecis
G017905455	2684574	5409165	0.49630100024680335	Pseudomonas chengduensis
G009193295	2678760	5760088	0.46505539498702103	Bacteroides luhongzhouii
G001431625	2670075	4813172	0.5547433168812583	Stenotrophomonas geniculata
G002847555	2663858	3015302	0.8834465005495303	Actinomyces oris
G000377625	2661388	2846286	0.9350388541418536	Prevotella veroralis
G000154365	2657077	6559328	0.4050837219910332	Enterocloster bolteae
G003994255	2656300	3784412	0.7019056064720226	Brachybacterium paraconglomeratum
G020889785	2653957	8478627	0.3130173081089662	Bradyrhizobium acaciae
G000468135	2653421	2710958	0.9787761374392373	Prevotella pleuritidis
G000613325	2649983	2835730	0.9344976425823333	Prevotella veroralis
G001431675	2647947	4515606	0.586399034813932	Stenotrophomonas maltophilia
G900167555	2645238	3243389	0.8155783965475618	Gemmiger formicilis
G001189235	2645127	8268532	0.3199028557910884	Bradyrhizobium embrapense
G000185145	2627109	2839597	0.9251696631599484	Prevotella oralis
G015548275	2626338	3349896	0.7840058318228387	Alistipes finegoldii
G000236605	2624873	3596620	0.7298166055908047	Geobacillus thermoleovorans
G900454985	2609598	2716066	0.9608006580105196	Prevotella nigrescens
G900129435	2606872	2812929	0.9267464624951429	Prevotella oralis
G013358205	2602476	5630578	0.4622040579137701	Phocaeicola sartorii
G000210695	2602451	3114788	0.8355146481879344	Anaerostipes hadrus
G000153925	2575414	2742506	0.9390732417723061	[Ruminococcus] torques
G019930605	2575048	2673097	0.9633200740564222	Prevotella nigrescens
G900637985	2573325	2707814	0.9503329992385001	Rothia aeria
G000730485	2570933	2607395	0.9860159277746563	Cutibacterium acnes
G000008185	2562974	2843201	0.9014396097919212	Treponema denticola
G001021565	2556707	5738402	0.44554337601304334	Delftia tsuruhatensis
G002763715	2553788	2764760	0.9236924724026678	Prevotella intermedia
G000376705	2541901	2549795	0.9969040648365849	Cutibacterium acnes
G003595605	2540359	3485602	0.7288149937944722	[Bacillus] caldolyticus
G002079055	2539517	12093003	0.20999887290195826	Saccharomyces paradoxus
G000009785	2536366	3592686	0.7059804280140263	Geobacillus kaustophilus
G000019725	2527434	6899270	0.3663335396353527	Methylobacterium radiotolerans
G000174195	2526376	4052022	0.6234852624196019	Roseburia inulinivorans
G000379145	2514414	9484787	0.26509968015096175	Bradyrhizobium elkanii
G000220235	2513010	2669653	0.9413245841313459	Prevotella nigrescens
G000613725	2509935	2561068	0.9800345012315175	Prevotella pleuritidis
G016127855	2509589	3152123	0.7961583351918691	Actinomyces naeslundii
G000153905	2509249	3626568	0.6919073349789664	Blautia obeum
G012689435	2503603	9187647	0.27249664685637137	Bradyrhizobium brasilense
G012871055	2500958	9650015	0.25916622927529126	Bradyrhizobium elkanii
G003030305	2494673	2495001	0.9998685371268389	Cutibacterium acnes
G004136195	2494673	2495002	0.9998681363782473	Cutibacterium acnes
G005160065	2493957	3670957	0.6793751602102667	Geobacillus kaustophilus
G008728435	2493904	2494216	0.9998749105931483	Cutibacterium acnes
G006539665	2491075	9265994	0.2688405582822523	Bradyrhizobium elkanii
G001956585	2481655	3120610	0.7952467626521738	Actinomyces naeslundii
G000472405	2478525	2479174	0.999738219261738	Cutibacterium acnes
G000285995	2474513	3119181	0.7933213878899621	Actinomyces naeslundii
G902363055	2473697	3012728	0.8210820890568282	Gemmiger formicilis
G014054945	2466854	2864419	0.8612057104774127	Neisseria sicca
G000231215	2466335	2488626	0.9910428485437346	Cutibacterium acnes
G001953955	2461930	2674190	0.9206264326768105	Prevotella intermedia
G019375915	2460635	2627331	0.9365531027495203	Prevotella nanceiensis
G007991055	2459339	6794550	0.36195759836928126	Methylobacterium radiotolerans
G016726365	2458545	2583917	0.9514798656458392	Rothia aeria
G001657475	2450299	3672993	0.6671123522424355	Enteractinococcus helveticum
G001405695	2448103	5455611	0.4487312236887857	Bacteroides salyersiae
G000379965	2447879	2650328	0.9236136055612739	Prevotella nanceiensis
G000613985	2445996	2647892	0.9237521772036019	Prevotella nanceiensis
G000174655	2441847	2831972	0.8622426351672968	Neisseria sicca
G009759865	2438069	9054233	0.26927394070817484	Bradyrhizobium pachyrhizi
G000739955	2436609	3448725	0.7065245851727813	Geobacillus kaustophilus
G000332875	2427275	2773668	0.8751137482928742	Anaerostipes hadrus
G003862485	2424987	2801239	0.8656837206678901	Lachnoanaerobaculum orale
G000154525	2422355	4010149	0.6040561086383573	Bacteroides stercoris
G019249635	2422276	3550547	0.6822261471260626	Prevotella copri
G002959715	2417370	4577828	0.528060468851167	Bacteroides caccae
G000157935	2415343	3512993	0.6875456341643721	Prevotella copri
G001189245	2413774	8714433	0.2769857775026786	Bradyrhizobium pachyrhizi
G000164695	2413137	2506025	0.9629341287497132	Rothia dentocariosa
G016726305	2411135	4570941	0.5274920415730591	Bacteroides caccae
G002222615	2410259	4570803	0.5273163161921439	Bacteroides caccae
G900455895	2409139	2490353	0.9673885589713587	Rothia dentocariosa
G013267435	2406851	5179558	0.46468270072465645	Niallia circulans
G000159995	2406482	2585819	0.9306459578183933	Alloprevotella tannerae
G000169015	2404499	4565214	0.526700172215366	Bacteroides caccae
G002209445	2402737	3412686	0.7040603794196126	Capnocytophaga endodontalis
G000174755	2400938	2667858	0.8999496974726541	Capnocytophaga gingivalis
G900455005	2398469	2607183	0.9199465476723345	Prevotella intermedia
G019840805	2397671	4410127	0.5436739123385789	Escherichia ruysiae
G002302415	2384821	2838633	0.8401300907866568	Capnocytophaga gingivalis
G003244875	2372811	4584792	0.5175395088806646	Stenotrophomonas sepilia
G014202695	2369072	2728290	0.8683358440634976	Oribacterium sinus
G902374455	2366741	2749668	0.8607370053402811	Neisseria macacae
G000519165	2362003	2573667	0.9177578140450959	Prevotella intermedia
G000614185	2357415	5293553	0.4453369976648954	Phocaeicola sartorii
G000439065	2356858	2564933	0.9188770232984643	Prevotella intermedia
G000382065	2356575	4424285	0.5326453878988356	[Pseudomonas] hibiscicola
G000382445	2354687	4646489	0.5067669373585088	Phocaeicola massiliensis
G011516645	2352540	10743859	0.2189660158421662	Bradyrhizobium septentrionale
G009495405	2339518	3386438	0.6908492049758478	Prevotella copri
G003457595	2338459	3534944	0.6615264626540053	Blautia obeum
G007990525	2336678	2604441	0.8971898384336601	Leptotrichia hofstadii
G000373085	2336643	4512548	0.5178101152608238	Phocaeicola massiliensis
G001591585	2334477	5098406	0.4578836993366162	Niallia circulans
G900106605	2332597	3909288	0.5966807766529353	Bacteroides stercoris
G000465575	2332216	5225929	0.4462777814241257	Pseudomonas chengduensis
G000381365	2317518	5315550	0.4359883737336682	Bacteroides salyersiae
G016127415	2309467	6796677	0.33979354911230886	Delftia acidovorans
G019355975	2304999	3860338	0.5970977152777813	Acinetobacter septicus
G014678925	2304132	3562720	0.6467339560785018	Geobacillus zalihae
G000428965	2300559	2561078	0.8982776002917522	Leptotrichia hofstadii
G000741825	2288225	6777958	0.33759799042720534	Delftia acidovorans
G000154465	2285175	2550898	0.8958315855828026	Alistipes putredinis
G016126015	2282928	3237547	0.7051412689916162	Capnocytophaga periodontitidis
G001598795	2276834	6632189	0.3433005301869413	Delftia acidovorans
G006716905	2271241	4651494	0.48828204443561574	Acidovorax temperans
G900167385	2271132	2842183	0.7990801436782924	Prevotella oulorum
G900454435	2264318	2654394	0.8530451771666151	Neisseria mucosa
G000613785	2262417	2830498	0.7992999818406513	Prevotella oulorum
G017753665	2261509	2566407	0.8811965522226209	Neisseria sicca
G003290485	2242158	7369807	0.3042356468765057	Malassezia restricta
G000813705	2240155	2455289	0.912379357379111	Morococcus cerebrosus
G000173975	2239477	3294476	0.6797672831734091	Anaerobutyricum hallii
G000185385	2233165	3083124	0.7243189051105308	Lachnoanaerobaculum saburreum
G007990545	2231270	2337438	0.954579330018593	Leptotrichia wadei
G900106015	2229069	5476367	0.4070342619477475	Pseudomonas sihuiensis
G019334765	2222913	2291167	0.9702099410475099	Neisseria sicca
G900458605	2220636	2538088	0.8749247465020913	Staphylococcus epidermidis
G019334725	2216546	2284668	0.9701829762573818	Neisseria perflava
G001457555	2213464	2455080	0.901585284389918	Fusobacterium nucleatum
G001405615	2212415	3568578	0.6199710360821593	Roseburia faecis
G000373345	2203263	2317789	0.9505882545822765	Leptotrichia wadei
G003457795	2199643	3754680	0.5858403379249364	Roseburia inulinivorans
G019704495	2198873	4615174	0.4764442250714708	Stenotrophomonas pavanii
G015557635	2198060	3596283	0.6112032896187536	Fusicatenibacter saccharivorans
G000153625	2197367	2441652	0.8999509348588579	Fusobacterium nucleatum
G006094375	2196443	2491098	0.8817168172428383	Staphylococcus epidermidis
G900446695	2196311	3053618	0.7192487730947354	Capnocytophaga sputigena
G001544135	2186580	3542947	0.6171641856341628	Geobacillus zalihae
G002763625	2183067	2372880	0.9200073328613331	Fusobacterium pseudoperiodonticum
G000175615	2179870	2255638	0.9664095036526251	Rothia mucilaginosa
G016726205	2178401	3612576	0.6030048918002002	Acinetobacter ursingii
G016651435	2177848	3122965	0.6973654844034435	Catonella massiliensis
G900475505	2176943	2296927	0.9477632506387883	Streptococcus sanguinis
G002892575	2176408	2379874	0.9145055578572647	Porphyromonas gingivalis
G002761955	2173942	2413077	0.9009003856901375	Fusobacterium pseudoperiodonticum
G006742205	2172428	2427061	0.8950858672278942	Staphylococcus epidermidis
G015547255	2168633	4161757	0.521085925968287	Phocaeicola massiliensis
G001593525	2163167	2304787	0.9385539748358525	Streptococcus sanguinis
G000191105	2162375	2298449	0.9407974682057335	Streptococcus sanguinis
G002087975	2161138	2458239	0.8791407182133226	Staphylococcus epidermidis
G000194945	2158105	2280603	0.9462870126891879	Streptococcus sanguinis
G002959615	2156455	3570517	0.6039615551473358	[Ruminococcus] gnavus
G000010505	2151185	2354886	0.9134985727546896	Porphyromonas gingivalis
G009831375	2150114	3549191	0.6058039705386382	[Ruminococcus] gnavus
G003468475	2147568	3405300	0.6306545678794819	Anaerobutyricum hallii
G002901875	2142694	2443605	0.8768577572889236	Staphylococcus epidermidis
G003054025	2132024	2637673	0.8082973135790524	Capnocytophaga leadbetteri
G003945365	2131814	2454371	0.868578548230891	Phascolarctobacterium faecium
G000224615	2131450	2806193	0.759552176204559	Prevotella oulorum
G013314975	2128915	4691606	0.45377105409107243	Pseudarthrobacter oxydans
G001071155	2128187	2197474	0.9684697065812837	Streptococcus parasanguinis
G000160475	2119934	2616043	0.8103590040377777	Fusobacterium periodonticum
G902810435	2118894	2146482	0.9871473415570221	Veillonella parvula
G002302495	2117572	2855148	0.7416680326203755	Capnocytophaga sputigena
G000022305	2116480	3796573	0.5574711720280369	Acidovorax ebreus
G001908025	2108409	3578650	0.5891632319450072	Geobacillus proteiniphilus
G003862475	2106493	3098173	0.6799145819165037	Lachnoanaerobaculum gingivalis
G902858935	2106138	2185075	0.9638744665514913	Streptococcus salivarius
G000169475	2105237	3502751	0.6010238809438638	[Ruminococcus] gnavus
G900637555	2104386	3172010	0.6634235074920949	Lautropia mirabilis
G003312465	2100636	2970937	0.7070617788260067	Faecalibacterium prausnitzii
G014836715	2100210	4551034	0.4614797428452523	Escherichia whittamii
G000177435	2098303	2163833	0.9697157775114807	Veillonella parvula
G000723465	2098001	2968520	0.7067498281972161	Ruminococcus bicirculans
G000368825	2097420	3535919	0.5931753527159418	Acinetobacter ursingii
G003269275	2095827	2317531	0.9043361232276936	Phascolarctobacterium faecium
G020687245	2094231	2963996	0.7065566215339022	Faecalibacterium longum
G015326295	2087434	4858687	0.429629239339764	Brucella anthropi
G900101175	2083617	4424321	0.47094616326437433	Stenotrophomonas pavanii
G019046945	2082924	2187618	0.9521424672863361	Streptococcus gordonii
G900475015	2082890	2187611	0.9521299719191392	Streptococcus gordonii
G002959775	2077245	2187386	0.9496472044714559	Veillonella rogosae
G014784575	2073179	5289884	0.3919138869585798	Ochrobactrum sp. MT180101
G000186425	2070638	3152065	0.6569147527097315	Lautropia mirabilis
G901544385	2067601	2185555	0.9460301845526651	Streptococcus gordonii
G003402615	2067359	3262961	0.6335837296247182	Faecalimonas umbilicata
G005221305	2067340	2195659	0.9415578648597073	Neisseria subflava
G003324185	2065169	3032666	0.6809747595020355	Faecalibacterium prausnitzii
G001688725	2064734	4839927	0.42660436820638	Bacteroides caecimuris
G013892435	2064395	4784484	0.43147704120235325	Escherichia fergusonii
G020097475	2062164	4645948	0.4438629102176779	Escherichia fergusonii
G001553855	2060980	2167563	0.950828188154162	Streptococcus gordonii
G001431565	2060417	4316358	0.47735081288438075	Stenotrophomonas pavanii
G900450795	2059467	2129792	0.9669803436204099	Fusobacterium nucleatum
G000026225	2054187	4643881	0.4423427301431712	Escherichia fergusonii
G002243665	2053684	3742258	0.5487820454923205	Geobacillus thermocatenulatus
G016697125	2051214	4800606	0.4272823056089169	Bacteroides caecimuris
G002221665	2050290	4800776	0.427074706255822	Bacteroides caecimuris
G001469295	2049856	2164236	0.9471499411339613	Streptococcus gordonii
G002214645	2046942	4061276	0.5040145018462178	Diaphorobacter polyhydroxybutyrativorans
G013393365	2042096	2097818	0.9734381152225788	Veillonella nakazawae
G900624885	2041197	4879393	0.4183301078638265	Parabacteroides johnsonii
G016127215	2036631	2141704	0.9509395322602937	Haemophilus parainfluenzae
G900450845	2035913	2148373	0.9476534102783828	Haemophilus parainfluenzae
G900636435	2032857	2206150	0.9214500373954627	Streptococcus salivarius
G003024715	2027394	3277656	0.6185499637545856	Clostridium fessum
G014647755	2027359	2166955	0.935579649785067	Porphyromonas pasteri
G900460235	2026899	2108082	0.9614896384485992	Veillonella atypica
G000746485	2026326	2136444	0.9484573431365391	Haemophilus parainfluenzae
G900186885	2022530	2132142	0.9485906661001002	Veillonella parvula
G000024945	2022529	2132142	0.9485901970881865	Veillonella parvula
G018408575	2018716	2557780	0.7892453612116758	Vescimonas coprocola
G900459355	2017026	2170541	0.9292733931310212	Streptococcus parasanguinis
G000785515	2016221	2188923	0.9211018386667781	Streptococcus salivarius
G000164675	2007643	2153652	0.9322039958173373	Streptococcus parasanguinis
G000191405	2004310	2124937	0.9432326699568034	Haemophilus parainfluenzae
G006385165	2003914	2189519	0.9152302400664255	Streptococcus symci
G001487165	1997414	3717423	0.5373114654963936	Blautia massiliensis
G019972895	1993262	2167113	0.9197776027369131	Streptococcus salivarius
G900143035	1983987	2163323	0.9171016071109123	Streptococcus salivarius
G009208555	1976722	6455641	0.306200732041946	Janthinobacterium violaceinigrum
G004346095	1971535	3081777	0.6397396696775919	Faecalimonas umbilicata
G004342485	1967796	5773156	0.3408527328899479	Pelomonas saccharophila
G002217655	1964267	3563820	0.5511689703744858	Geobacillus thermocatenulatus
G902375065	1962923	2071647	0.9475180858514989	Veillonella atypica
G900637515	1958918	2116915	0.9253645044793958	Veillonella dispar
G000160015	1958613	2118807	0.924394246384876	Veillonella dispar
G002959915	1953033	2037610	0.9584920568705493	Veillonella atypica
G000369885	1951825	3510425	0.5560081756482477	Acinetobacter ursingii
G900453805	1944865	2291848	0.8486012161364977	Neisseria flavescens
G005221285	1935732	2231882	0.8673092932332445	Neisseria flavescens
G002252535	1930695	5584093	0.3457490768867925	Brucella lupini
G000318355	1916743	1997940	0.9593596404296425	Veillonella atypica
G901482635	1916204	2485060	0.7710896316386727	Staphylococcus capitis
G007990635	1915133	2284200	0.8384261448209439	Leptotrichia hongkongensis
G015311765	1912506	2943220	0.6498005585719042	Enterococcus faecalis
G000172175	1912368	6052736	0.31595100133229004	Bacteroides intestinalis
G001455085	1898483	2430543	0.7810941834808107	Fusobacterium hwasookii
G900636445	1891831	1950305	0.9700180228220714	Streptococcus vestibularis
G016724785	1889304	2352222	0.80319969798769	Fusobacterium canifelinum
G016889065	1886720	4813143	0.3919933399028452	Butyricimonas virosa
G001431665	1880523	4486776	0.4191256706374466	Stenotrophomonas maltophilia
G000392875	1879443	2881440	0.6522582458770615	Enterococcus faecalis
G000017405	1878961	5205877	0.360930732708437	Brucella anthropi
