species_representative,mgnify_accesssion,ena_accession,status,reference_genes,core_genes,perc_core_genes,accessory_genes,pangenome_size,number_snvs,geo_diversity,num_genomes_HBC,num_genomes_NCBI,num_genomes_CGR,num_genomes_PATRIC,num_genomes_EBI,num_genomes_HGM,num_genomes_CIBIO,num_ANI97,num_ANI99,num_genomes_total,num_genomes_nonredundant,num_genomes_nearcomplete,num_samples,tax_GTDB,tax_NCBI
GUT_GENOME000035,MGYG-HGUT-00013,ERS3638043,Cultured (human gut),4861,2404,49.45,13890,16294,247243,0.85,3,0,2,0,19,5,7,4,15,36,19,14,20,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__,d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__
GUT_GENOME000046,MGYG-HGUT-00014,ERS3638044,Cultured (human gut),4100,2838,69.22,8137,10975,143576,0.35,2,0,1,2,48,15,4,8,33,72,54,32,62,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium butyricum,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium butyricum
GUT_GENOME000047,MGYG-HGUT-00015,ERS3638045,Cultured (human gut),4510,NA,NA,NA,NA,60071,0.68,1,0,0,0,1,0,2,2,3,4,3,3,3,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter mori,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter mori
GUT_GENOME000049,MGYG-HGUT-00016,ERS3638046,Cultured (human gut),2523,1681,66.63,7083,8764,170644,0.75,1,0,0,0,57,21,76,13,84,155,107,64,107,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Anaerotignum;s__Anaerotignum sp001304995,d__Bacteria;p__Firmicutes;c__Clostridia;o__;f__;g__;s__
GUT_GENOME000054,MGYG-HGUT-00017,ERS3638047,Cultured (human gut),1896,1343,70.83,2412,3755,129101,0.84,1,0,0,0,15,9,18,11,28,43,25,16,25,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__,d__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__
GUT_GENOME000055,MGYG-HGUT-00018,ERS3638048,Cultured (human gut),2826,1854,65.61,10309,12163,236727,1.62,1,1,1,0,104,60,207,13,194,374,266,180,269,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus eutactus,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus eutactus
GUT_GENOME000057,MGYG-HGUT-00019,ERS3638049,Cultured (human gut),4541,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,1,1,1,1,1,1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__
GUT_GENOME000064,MGYG-HGUT-00020,ERS3638050,Cultured (human gut),1905,NA,NA,NA,NA,NA,0.65,1,0,0,0,0,0,1,1,2,2,2,2,2,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_D;s__Lactobacillus_D curvatus,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus curvatus
GUT_GENOME000067,MGYG-HGUT-00021,ERS3638051,Cultured (human gut),1885,NA,NA,NA,NA,6620,1.07,2,0,0,0,6,4,2,1,4,14,10,7,11,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_H;s__Lactobacillus_H vaginalis_A,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Gardnerella;s__Gardnerella vaginalis
GUT_GENOME000092,MGYG-HGUT-00022,ERS3638052,Cultured (human gut),2852,1396,48.95,18409,19805,978871,1.41,2,1,4,1,429,164,655,278,996,1256,921,335,924,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_C,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii
GUT_GENOME000094,MGYG-HGUT-00023,ERS3638053,Cultured (human gut),1971,NA,NA,NA,NA,118804,1.05,1,0,0,0,3,2,9,10,12,15,13,1,13,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus parasanguinis,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus parasanguinis
GUT_GENOME000104,MGYG-HGUT-00024,ERS3638054,Cultured (human gut),3525,NA,NA,NA,NA,9392,0.53,2,0,0,1,0,0,0,1,2,3,3,3,3,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Paraclostridium;s__Paraclostridium massiliensis,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Paraclostridium;s__Paraclostridium bifermentans
GUT_GENOME000106,MGYG-HGUT-00025,ERS3638055,Cultured (human gut),2641,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,1,1,1,1,1,1,d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus nepalensis,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus nepalensis
GUT_GENOME000109,MGYG-HGUT-00026,ERS3638056,Cultured (human gut),2518,1310,52.03,8810,10120,337834,1,1,1,0,0,59,77,142,66,206,280,201,87,201,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Catenibacterium;s__Catenibacterium mitsuokai,d__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Catenibacterium;s__Catenibacterium mitsuokai
GUT_GENOME000111,MGYG-HGUT-00027,ERS3638057,Cultured (human gut),2097,1248,59.51,4644,5892,224841,0.82,1,0,0,1,52,63,97,21,123,214,133,59,134,d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Mitsuokella;s__Mitsuokella jalaludinii,d__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Mitsuokella;s__Mitsuokella jalaludinii
GUT_GENOME000113,MGYG-HGUT-00028,ERS3638058,Cultured (human gut),2334,1381,59.17,7189,8570,159965,1.1,1,1,1,1,61,24,128,12,171,217,170,63,171,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes hadrus_A,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes hadrus
GUT_GENOME000122,MGYG-HGUT-00029,ERS3638059,Cultured (human gut),3500,2102,60.06,9649,11751,290896,1.37,2,1,0,2,38,6,53,18,68,102,78,14,79,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides finegoldii,d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides finegoldii
GUT_GENOME000128,MGYG-HGUT-00030,ERS3638060,Cultured (human gut),2708,1761,65.03,11811,13572,122397,0.95,1,0,0,0,22,25,45,6,42,93,60,52,60,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-603;s__CAG-603 sp900066105,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Eubacterium;s__
GUT_GENOME000131,MGYG-HGUT-00031,ERS3638061,Cultured (human gut),3299,NA,NA,NA,NA,187153,1.15,3,0,0,0,7,2,27,10,33,39,30,6,31,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900066205,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__
GUT_GENOME000133,MGYG-HGUT-00032,ERS3638062,Cultured (human gut),6048,3756,62.1,16197,19953,472559,1.26,2,0,7,3,58,29,51,12,53,150,94,64,100,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella;s__Hungatella effluvii,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Hungatella;s__Hungatella hathewayi
GUT_GENOME000136,MGYG-HGUT-00033,ERS3638063,Cultured (human gut),2683,1345,50.13,21221,22566,350157,1.3,2,0,2,0,365,325,635,229,931,1329,1007,504,1011,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Monoglobales;f__UBA1381;g__CAG-41;s__CAG-41 sp900066215,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__
GUT_GENOME000137,MGYG-HGUT-00034,ERS3638064,Cultured (human gut),2606,NA,NA,NA,NA,NA,0,2,0,0,0,0,0,0,1,1,2,1,1,2,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Massilimaliae;s__Massilimaliae timonensis,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__
GUT_GENOME000139,MGYG-HGUT-00035,ERS3638065,Cultured (human gut),3312,2498,75.42,2344,4842,21100,0.49,1,1,0,0,9,3,13,1,12,27,18,10,18,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A hydrogenotrophica,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__Blautia hydrogenotrophica
GUT_GENOME000141,MGYG-HGUT-00036,ERS3638066,Cultured (human gut),2199,1226,55.75,27830,29056,174314,1.49,2,0,1,0,135,81,221,49,262,440,310,183,311,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__GCA-900066995;s__GCA-900066995 sp900291955,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;s__
GUT_GENOME000147,MGYG-HGUT-00037,ERS3638067,Cultured (human gut),2529,NA,NA,NA,NA,85126,1.18,3,0,0,3,8,4,11,2,14,29,18,6,21,d__Bacteria;p__Firmicutes;c__Bacilli;o__Haloplasmatales;f__Turicibacteraceae;g__Turicibacter;s__Turicibacter sp001543345,d__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter;s__Turicibacter sanguinis
GUT_GENOME000149,MGYG-HGUT-00038,ERS3638068,Cultured (human gut),2958,1625,54.94,21550,23175,274618,1.3,9,1,0,4,143,64,352,43,457,573,457,201,463,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__Dorea longicatena,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea;s__Dorea longicatena
GUT_GENOME000152,MGYG-HGUT-00039,ERS3638069,Cultured (human gut),2654,1446,54.48,7347,8793,371996,1.62,1,0,0,1,41,32,145,21,163,220,177,84,178,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_H,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii
GUT_GENOME000159,MGYG-HGUT-00040,ERS3638070,Cultured (human gut),2317,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,1,1,1,1,1,1,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__UBA1191;s__UBA1191 sp900066305,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Eubacterium;s__
GUT_GENOME000166,MGYG-HGUT-00041,ERS3638071,Cultured (human gut),3413,1691,49.55,37696,39387,692152,1.25,2,0,3,0,374,224,769,121,907,1372,989,644,989,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp900066365,d__Bacteria;p__Firmicutes;c__;o__;f__;g__;s__
GUT_GENOME000187,MGYG-HGUT-00042,ERS3638072,Cultured (human gut),2948,NA,NA,NA,NA,NA,0,1,0,0,0,1,0,0,1,2,2,2,1,2,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_A;s__Bacteroides_A sp900066445,d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__
GUT_GENOME000189,MGYG-HGUT-00043,ERS3638073,Cultured (human gut),3511,1707,48.62,6851,8558,227945,0.57,1,0,0,0,12,3,38,9,42,54,45,18,45,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_A;s__Bacteroides_A sp900066455,d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__
GUT_GENOME000192,MGYG-HGUT-00044,ERS3638074,Cultured (human gut),3542,2209,62.37,67271,69480,437678,1.29,1,1,15,2,598,214,940,48,768,1771,1446,819,1448,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides merdae,d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides merdae
GUT_GENOME000196,MGYG-HGUT-00045,ERS3638075,Cultured (human gut),2716,1599,58.87,54614,56213,417428,1.22,6,1,30,1,378,252,597,169,734,1265,986,618,996,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium;s__Erysipelatoclostridium sp000752095,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__
GUT_GENOME000198,MGYG-HGUT-00046,ERS3638076,Cultured (human gut),2346,1420,60.53,2913,4333,214064,1.06,1,0,0,1,9,5,16,11,22,32,27,17,27,d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__Megasphaera sp900066485,d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Megasphaera;s__
GUT_GENOME000200,MGYG-HGUT-00047,ERS3638077,Cultured (human gut),3203,NA,NA,NA,NA,20892,0.59,1,0,0,1,3,0,0,1,3,5,4,2,5,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium disporicum,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium disporicum
GUT_GENOME000202,MGYG-HGUT-00048,ERS3638078,Cultured (human gut),2229,NA,NA,NA,NA,20164,0.34,1,0,0,0,1,2,2,2,5,6,4,1,4,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_P;s__Clostridium_P ventriculi,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium ventriculi
GUT_GENOME000203,MGYG-HGUT-00049,ERS3638079,Cultured (human gut),3352,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,1,1,1,1,1,1,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__GCA-900066495;s__GCA-900066495 sp900066495,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__
GUT_GENOME000205,MGYG-HGUT-00050,ERS3638080,Cultured (human gut),3564,NA,NA,NA,NA,61093,0.91,1,0,0,0,4,0,5,4,10,10,9,5,9,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900066505,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__
GUT_GENOME000215,MGYG-HGUT-00051,ERS3638081,Cultured (human gut),3324,NA,NA,NA,NA,42057,0.48,2,0,0,0,4,0,1,3,7,7,7,4,7,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__GCA-900066575;s__GCA-900066575 sp900066385,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__
GUT_GENOME000219,MGYG-HGUT-00052,ERS3638082,Cultured (human gut),3280,2270,69.21,3930,6200,49509,0.75,1,0,1,2,5,2,6,3,9,17,13,11,13,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes sp000508985,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__
GUT_GENOME000220,MGYG-HGUT-00053,ERS3638083,Cultured (human gut),1792,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,1,1,1,1,1,1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp002358415,d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__
GUT_GENOME000221,MGYG-HGUT-00054,ERS3638084,Cultured (human gut),4428,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,1,1,1,1,1,1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides acidifaciens,d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides acidifaciens
GUT_GENOME000224,MGYG-HGUT-00055,ERS3638085,Cultured (human gut),2774,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,1,1,1,1,1,1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;s__Muribaculum intestinale,d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__;s__
GUT_GENOME000225,MGYG-HGUT-00056,ERS3638086,Cultured (human gut),2832,NA,NA,NA,NA,38,0.69,2,0,0,0,0,1,0,1,1,3,2,2,3,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;s__Muribaculum sp002358615,d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__;s__
GUT_GENOME000231,MGYG-HGUT-00057,ERS3638087,Cultured (human gut),3839,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,1,1,1,1,1,1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp002491635,d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__
GUT_GENOME000232,MGYG-HGUT-00058,ERS3638088,Cultured (human gut),3086,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,1,1,1,1,1,1,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_I;s__Eubacterium_I sp900066595,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;s__
GUT_GENOME000236,MGYG-HGUT-00059,ERS3638089,Cultured (human gut),2764,NA,NA,NA,NA,38169,0.62,3,0,0,0,4,1,10,5,17,18,17,8,17,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp900066645,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__Flavonifractor;s__
GUT_GENOME000237,MGYG-HGUT-00060,ERS3638090,Cultured (human gut),3100,1504,48.52,55718,57222,815971,1.45,4,0,14,3,1009,549,1584,233,1779,3163,2321,1577,2342,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira eligens_B,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Eubacterium;s__[Eubacterium] eligens
